#-----------------------------------------------------------------------------
# Date d'extraction : 24/04/2025 - 12h17 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020
# Modele     : ALADIN63_CNRM-CM5
# Scenario :
#     RCP2.6 : Emissions maîtrisées
#-----------------------------------------------------------------------------
# Période extraite : de 2006 à 2020
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     TAV : Température moyenne journalière (°C)
#     PN20MM : Nombre de jours de fortes précipitations (jour(s))
#     PQ90 : précipitations intenses (Q90) (mm)
#     PQ99 : précipitations extrêmes (Q99) (mm)
#     RR99 : nombre de jours de précipitations intenses (nombre de jours où on dépasse le Q99) (jour(s))
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;Annee;TAV;PN20MM;PQ90;PQ99;RR99;
#-----------------------------------------------------------------------------
Point;Latitude;Longitude;Contexte;Annee;TAV;PN20MM;PQ90;PQ99;RR99;
11741;47.3229;-3.2243;RCP2.6;2006;12.24;5;4.73;22.18;5;
11741;47.3229;-3.2243;RCP2.6;2007;12.88;4;5.41;22.34;4;
11741;47.3229;-3.2243;RCP2.6;2008;12.45;1;7.93;17.93;2;
11741;47.3229;-3.2243;RCP2.6;2009;13.17;4;6.36;19.83;4;
11741;47.3229;-3.2243;RCP2.6;2010;12.79;5;7.28;21.9;5;
11741;47.3229;-3.2243;RCP2.6;2011;12.88;3;6.42;18.35;3;
11741;47.3229;-3.2243;RCP2.6;2012;13.27;3;6.35;18.51;3;
11741;47.3229;-3.2243;RCP2.6;2013;13.15;0;5.87;15.65;0;
11741;47.3229;-3.2243;RCP2.6;2014;13.03;5;5.21;21.67;5;
11741;47.3229;-3.2243;RCP2.6;2015;13.17;0;5;17.68;0;
11741;47.3229;-3.2243;RCP2.6;2016;13.42;6;6.25;22.45;6;
11741;47.3229;-3.2243;RCP2.6;2017;13.64;4;6.31;19.17;4;
11741;47.3229;-3.2243;RCP2.6;2018;12.69;7;8.36;22.17;7;
11741;47.3229;-3.2243;RCP2.6;2019;12.41;5;7.44;23.41;5;
11741;47.3229;-3.2243;RCP2.6;2020;12.36;8;5.22;27.53;8;
12037;47.5126;-2.1799;RCP2.6;2006;11.42;4;7.21;19.38;3;
12037;47.5126;-2.1799;RCP2.6;2007;12.17;8;6.88;23.99;3;
12037;47.5126;-2.1799;RCP2.6;2008;11.68;8;9.18;21.5;3;
12037;47.5126;-2.1799;RCP2.6;2009;12.74;6;7.03;22.14;1;
12037;47.5126;-2.1799;RCP2.6;2010;12.14;6;8.49;26.91;5;
12037;47.5126;-2.1799;RCP2.6;2011;12.25;5;6.92;20.56;2;
12037;47.5126;-2.1799;RCP2.6;2012;12.59;8;7.15;23.79;4;
12037;47.5126;-2.1799;RCP2.6;2013;12.57;3;6.51;17.74;3;
12037;47.5126;-2.1799;RCP2.6;2014;12.44;6;6.22;28.51;5;
12037;47.5126;-2.1799;RCP2.6;2015;12.75;5;7.27;20.79;2;
12037;47.5126;-2.1799;RCP2.6;2016;12.85;9;7.91;24.16;4;
12037;47.5126;-2.1799;RCP2.6;2017;12.97;15;7.73;27.35;7;
12037;47.5126;-2.1799;RCP2.6;2018;11.96;7;9.69;26.43;6;
12037;47.5126;-2.1799;RCP2.6;2019;11.55;9;9.15;33.37;7;
12037;47.5126;-2.1799;RCP2.6;2020;11.67;8;7.5;26.76;5;
12175;47.5626;-2.7167;RCP2.6;2006;11.92;4;5.02;18;3;
12175;47.5626;-2.7167;RCP2.6;2007;12.63;10;6.2;25.36;6;
12175;47.5626;-2.7167;RCP2.6;2008;12.12;6;8.82;21.39;1;
12175;47.5626;-2.7167;RCP2.6;2009;13.07;7;7.04;21.36;3;
12175;47.5626;-2.7167;RCP2.6;2010;12.52;8;7.52;26.54;5;
12175;47.5626;-2.7167;RCP2.6;2011;12.66;3;7.09;18.99;1;
12175;47.5626;-2.7167;RCP2.6;2012;13.13;7;6.22;20.5;3;
12175;47.5626;-2.7167;RCP2.6;2013;13.04;5;6.59;20.76;1;
12175;47.5626;-2.7167;RCP2.6;2014;12.94;7;6.13;25;5;
12175;47.5626;-2.7167;RCP2.6;2015;13.06;5;5.53;22.2;2;
12175;47.5626;-2.7167;RCP2.6;2016;13.29;8;7.92;26.25;7;
12175;47.5626;-2.7167;RCP2.6;2017;13.49;9;8.05;27.11;6;
12175;47.5626;-2.7167;RCP2.6;2018;12.44;9;8.88;23.93;6;
12175;47.5626;-2.7167;RCP2.6;2019;12.06;10;8.61;28.16;5;
12175;47.5626;-2.7167;RCP2.6;2020;12.07;11;6.54;25.54;6;
12176;47.5671;-2.6106;RCP2.6;2006;11.73;3;5.59;16.73;3;
12176;47.5671;-2.6106;RCP2.6;2007;12.5;7;6.36;22.52;4;
12176;47.5671;-2.6106;RCP2.6;2008;11.92;6;8.71;21.67;3;
12176;47.5671;-2.6106;RCP2.6;2009;12.96;4;7;19.69;1;
12176;47.5671;-2.6106;RCP2.6;2010;12.39;6;8.06;24.88;5;
12176;47.5671;-2.6106;RCP2.6;2011;12.5;1;6.82;17.49;1;
12176;47.5671;-2.6106;RCP2.6;2012;12.97;5;5.94;21.4;4;
12176;47.5671;-2.6106;RCP2.6;2013;12.86;3;6.24;16.77;1;
12176;47.5671;-2.6106;RCP2.6;2014;12.77;6;5.45;23.74;5;
12176;47.5671;-2.6106;RCP2.6;2015;12.97;2;5.96;19.29;1;
12176;47.5671;-2.6106;RCP2.6;2016;13.12;9;7.67;24.19;7;
12176;47.5671;-2.6106;RCP2.6;2017;13.3;9;7.6;24.79;8;
12176;47.5671;-2.6106;RCP2.6;2018;12.26;7;8.4;25.26;5;
12176;47.5671;-2.6106;RCP2.6;2019;11.86;9;8.09;26.92;8;
12176;47.5671;-2.6106;RCP2.6;2020;11.92;10;6.99;26.61;8;
12177;47.5716;-2.5044;RCP2.6;2006;11.64;3;5.66;16.82;3;
12177;47.5716;-2.5044;RCP2.6;2007;12.41;7;6.4;22.66;4;
12177;47.5716;-2.5044;RCP2.6;2008;11.83;6;8.76;21.8;3;
12177;47.5716;-2.5044;RCP2.6;2009;12.87;4;7.05;19.81;1;
12177;47.5716;-2.5044;RCP2.6;2010;12.3;6;8.11;25.02;5;
12177;47.5716;-2.5044;RCP2.6;2011;12.41;1;6.85;17.59;1;
12177;47.5716;-2.5044;RCP2.6;2012;12.87;5;5.97;21.52;4;
12177;47.5716;-2.5044;RCP2.6;2013;12.77;3;6.28;16.86;1;
12177;47.5716;-2.5044;RCP2.6;2014;12.67;6;5.48;23.88;5;
12177;47.5716;-2.5044;RCP2.6;2015;12.87;2;6;19.4;1;
12177;47.5716;-2.5044;RCP2.6;2016;13.02;9;7.72;24.32;7;
12177;47.5716;-2.5044;RCP2.6;2017;13.2;9;7.65;24.94;8;
12177;47.5716;-2.5044;RCP2.6;2018;12.16;7;8.44;25.41;5;
12177;47.5716;-2.5044;RCP2.6;2019;11.76;9;8.15;27.07;8;
12177;47.5716;-2.5044;RCP2.6;2020;11.83;10;7.04;26.76;8;
