#-----------------------------------------------------------------------------
# Date d'extraction : 24/04/2025 - 12h35 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020
# Modele     : ALADIN63_CNRM-CM5
# Scenario :
#     REF : référence
#-----------------------------------------------------------------------------
# Période extraite : de 1990 à 2005
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     TAV : Température moyenne journalière (°C)
#     PN20MM : Nombre de jours de fortes précipitations (jour(s))
#     PQ90 : précipitations intenses (Q90) (mm)
#     PQ99 : précipitations extrêmes (Q99) (mm)
#     RR99 : nombre de jours de précipitations intenses (nombre de jours où on dépasse le Q99) (jour(s))
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;Annee;TAV;PN20MM;PQ90;PQ99;RR99;
#-----------------------------------------------------------------------------
Point;Latitude;Longitude;Contexte;Annee;TAV;PN20MM;PQ90;PQ99;RR99;
11741;47.3229;-3.2243;REF;1990;13.06;6;7.81;20.39;6;
11741;47.3229;-3.2243;REF;1991;12.27;1;6.69;16.46;1;
11741;47.3229;-3.2243;REF;1992;12.17;4;6.84;19.21;4;
11741;47.3229;-3.2243;REF;1993;12.52;4;6.11;20.11;4;
11741;47.3229;-3.2243;REF;1994;11.99;4;7.65;20.06;4;
11741;47.3229;-3.2243;REF;1995;12.62;2;6.04;17.43;2;
11741;47.3229;-3.2243;REF;1996;12.9;5;5.13;20.42;5;
11741;47.3229;-3.2243;REF;1997;12.45;4;6.19;17.63;4;
11741;47.3229;-3.2243;REF;1998;12.57;3;7.5;18.24;3;
11741;47.3229;-3.2243;REF;1999;13.14;4;5.11;17.68;4;
11741;47.3229;-3.2243;REF;2000;13.28;6;6.83;25.81;6;
11741;47.3229;-3.2243;REF;2001;12.26;4;7.38;19.99;4;
11741;47.3229;-3.2243;REF;2002;12.6;2;7.16;19.5;3;
11741;47.3229;-3.2243;REF;2003;13.13;2;6.49;18.18;2;
11741;47.3229;-3.2243;REF;2004;13.28;6;8.03;22.31;6;
11741;47.3229;-3.2243;REF;2005;12.78;4;4.14;19.41;4;
12037;47.5126;-2.1799;REF;1990;12.47;12;9.1;31.16;8;
12037;47.5126;-2.1799;REF;1991;11.34;4;6.72;20.11;3;
12037;47.5126;-2.1799;REF;1992;11.34;2;8.05;17.65;2;
12037;47.5126;-2.1799;REF;1993;11.78;4;8.05;20.02;3;
12037;47.5126;-2.1799;REF;1994;11.15;8;8.14;24.68;4;
12037;47.5126;-2.1799;REF;1995;11.87;10;8.01;30.1;6;
12037;47.5126;-2.1799;REF;1996;12.21;5;5.36;22.05;2;
12037;47.5126;-2.1799;REF;1997;11.65;4;7.93;19.88;0;
12037;47.5126;-2.1799;REF;1998;11.68;5;9.1;20.5;3;
12037;47.5126;-2.1799;REF;1999;12.46;7;5.89;26.54;5;
12037;47.5126;-2.1799;REF;2000;12.6;15;7.68;32.15;11;
12037;47.5126;-2.1799;REF;2001;11.54;8;9.16;26.08;4;
12037;47.5126;-2.1799;REF;2002;11.9;7;8.74;22.18;1;
12037;47.5126;-2.1799;REF;2003;12.47;8;9.44;24.57;5;
12037;47.5126;-2.1799;REF;2004;12.63;11;8.94;25.74;5;
12037;47.5126;-2.1799;REF;2005;12.04;5;4.72;22.28;3;
12175;47.5626;-2.7167;REF;1990;12.84;9;8.48;28.18;6;
12175;47.5626;-2.7167;REF;1991;11.89;3;6.97;18.35;1;
12175;47.5626;-2.7167;REF;1992;11.76;4;8.26;20.46;1;
12175;47.5626;-2.7167;REF;1993;12.24;3;7.59;19.71;2;
12175;47.5626;-2.7167;REF;1994;11.63;5;9.36;22.39;3;
12175;47.5626;-2.7167;REF;1995;12.32;10;7.07;23.19;4;
12175;47.5626;-2.7167;REF;1996;12.66;5;5.6;20.34;3;
12175;47.5626;-2.7167;REF;1997;12.17;3;7.47;16.96;2;
12175;47.5626;-2.7167;REF;1998;12.23;6;8.18;20.7;1;
12175;47.5626;-2.7167;REF;1999;12.91;2;5.95;17.13;2;
12175;47.5626;-2.7167;REF;2000;13.13;13;7.05;29.2;11;
12175;47.5626;-2.7167;REF;2001;11.89;9;8.79;27.65;8;
12175;47.5626;-2.7167;REF;2002;12.35;6;8.28;21.58;4;
12175;47.5626;-2.7167;REF;2003;12.85;10;7.71;24.76;5;
12175;47.5626;-2.7167;REF;2004;13.09;11;8.58;26.35;6;
12175;47.5626;-2.7167;REF;2005;12.54;5;5.03;21.62;3;
