Component,ISIN,Trading Location,Issuer Country
ACCOR,FR0000120404,Euronext Paris,France
ADP,FR0010340141,Euronext Paris,France
AIR LIQUIDE,FR0000120073,Euronext Paris,France
AIRBUS,NL0000235190,Euronext Paris,Netherlands
ALSTOM,FR0010220475,Euronext Paris,France
ARKEMA,FR0010313833,Euronext Paris,France
AXA,FR0000120628,Euronext Paris,France
BNP PARIBAS ACT.A,FR0000131104,Euronext Paris,France
BUREAU VERITAS,FR0006174348,Euronext Paris,France
CAPGEMINI,FR0000125338,Euronext Paris,France
CARREFOUR,FR0000120172,Euronext Paris,France
CREDIT AGRICOLE,FR0000045072,Euronext Paris,France
DANONE,FR0000120644,Euronext Paris,France
EDENRED,FR0010908533,Euronext Paris,France
ENGIE,FR0010208488,Euronext Paris,France
GECINA,FR0010040865,Euronext Paris,France
HERMES INTL,FR0000052292,Euronext Paris,France
KERING,FR0000121485,Euronext Paris,France
KLEPIERRE,FR0000121964,Euronext Paris,France
L'OREAL,FR0000120321,Euronext Paris,France
LEGRAND,FR0010307819,Euronext Paris,France
LVMH,FR0000121014,Euronext Paris,France
MICHELIN,FR001400AJ45,Euronext Paris,France
ORANGE,FR0000133308,Euronext Paris,France
PERNOD RICARD,FR0000120693,Euronext Paris,France
PUBLICIS GROUPE SA,FR0000130577,Euronext Paris,France
RENAULT,FR0000131906,Euronext Paris,France
REXEL,FR0010451203,Euronext Paris,France
SAFRAN,FR0000073272,Euronext Paris,France
SAINT GOBAIN,FR0000125007,Euronext Paris,France
SANOFI,FR0000120578,Euronext Paris,France
SCHNEIDER ELECTRIC,FR0000121972,Euronext Paris,France
SOCIETE GENERALE,FR0000130809,Euronext Paris,France
SODEXO,FR0000121220,Euronext Paris,France
STMICROELECTRONICS,NL0000226223,Euronext Paris,Netherlands
TELEPERFORMANCE,FR0000051807,Euronext Paris,France
THALES,FR0000121329,Euronext Paris,France
UNIBAIL-RODAMCO-WE,FR0013326246,Euronext Paris,France
VEOLIA ENVIRON.,FR0000124141,Euronext Paris,France
VINCI,FR0000125486,Euronext Paris,France
